index,mot,phoneme
1_04_20,mɔm0,m
1_04_20,mɔm0,m
1_04_20,mɔm0,0
1_04_20,mɔm0,ɔ
1_04_20,kakatetəma,a
1_04_20,kakatetəma,a
1_04_20,kakatetəma,a
1_04_20,kakatetəma,e
1_04_20,kakatetəma,ə
1_04_20,kakatetəma,t
1_04_20,kakatetəma,t
1_04_20,kakatetəma,k
1_04_20,kakatetəma,k
1_04_20,kakatetəma,m
1_04_20,eːja,a
1_04_20,eːja,e
1_04_20,eːja,j
1_04_20,mmmnamna,a
1_04_20,mmmnamna,a
1_04_20,mmmnamna,m
1_04_20,mmmnamna,m
1_04_20,mmmnamna,m
1_04_20,mmmnamna,m
1_04_20,mmmnamna,n
1_04_20,mmmnamna,n
1_04_20,mnamnam,a
1_04_20,mnamnam,a
1_04_20,mnamnam,m
1_04_20,mnamnam,m
1_04_20,mnamnam,m
1_04_20,mnamnam,n
1_04_20,mnamnam,n
1_04_20,u,u
1_04_20,l0vɛ,l
1_04_20,l0vɛ,ɛ
1_04_20,l0vɛ,0
1_04_20,l0vɛ,v
1_04_20,bebe,e
1_04_20,bebe,e
1_04_20,bebe,b
1_04_20,bebe,b
1_04_20,bebe,e
1_04_20,bebe,e
1_04_20,bebe,b
1_04_20,bebe,b
1_04_20,bebe,e
1_04_20,bebe,e
1_04_20,bebe,b
1_04_20,bebe,b
1_04_20,m,m
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,am0,a
1_04_20,am0,m
1_04_20,am0,0
1_04_20,n0,0
1_04_20,n0,n
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,mam0ː,a
1_04_20,mam0ː,m
1_04_20,mam0ː,m
1_04_20,mam0ː,0
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,m0,m
1_04_20,m0,0
1_04_20,m0,m
1_04_20,m0,0
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,ha,a
1_04_20,ha,a
1_04_20,ha,a
1_04_20,bum,m
1_04_20,bum,u
1_04_20,bum,b
1_04_20,nɔ,n
1_04_20,nɔ,ɔ
1_04_20,nɔ,n
1_04_20,nɔ,ɔ
1_04_20,ahis,a
1_04_20,ahis,s
1_04_20,ahis,i
1_04_20,kɔla,a
1_04_20,kɔla,l
1_04_20,kɔla,k
1_04_20,kɔla,ɔ
1_04_20,d1,d
1_04_20,d1,1
1_04_20,kɔla,a
1_04_20,kɔla,l
1_04_20,kɔla,k
1_04_20,kɔla,ɔ
1_04_20,ɔwa,a
1_04_20,ɔwa,ɔ
1_04_20,ɔwa,w
1_04_20,aː,a
1_04_20,etititititititi,e
1_04_20,etititititititi,i
1_04_20,etititititititi,i
1_04_20,etititititititi,i
1_04_20,etititititititi,i
1_04_20,etititititititi,i
1_04_20,etititititititi,i
1_04_20,etititititititi,i
1_04_20,etititititititi,t
1_04_20,etititititititi,t
1_04_20,etititititititi,t
1_04_20,etititititititi,t
1_04_20,etititititititi,t
1_04_20,etititititititi,t
1_04_20,etititititititi,t
1_04_20,ɔ,ɔ
1_04_20,te,e
1_04_20,te,t
1_04_20,lɔp,l
1_04_20,lɔp,p
1_04_20,lɔp,ɔ
1_04_20,dɔ,d
1_04_20,dɔ,ɔ
1_04_20,ala,a
1_04_20,ala,a
1_04_20,ala,l
1_04_20,avo,a
1_04_20,avo,v
1_04_20,avo,o
1_04_20,n1,n
1_04_20,n1,1
1_04_20,n1,n
1_04_20,n1,1
1_04_20,muʁ,m
1_04_20,muʁ,u
1_04_20,ɔ,ɔ
1_04_20,ebaba,a
1_04_20,ebaba,a
1_04_20,ebaba,e
1_04_20,ebaba,b
1_04_20,ebaba,b
1_04_20,təpa,a
1_04_20,təpa,ə
1_04_20,təpa,t
1_04_20,təpa,p
1_04_20,mamɛmam2,a
1_04_20,mamɛmam2,a
1_04_20,mamɛmam2,ɛ
1_04_20,mamɛmam2,m
1_04_20,mamɛmam2,m
1_04_20,mamɛmam2,m
1_04_20,mamɛmam2,m
1_04_20,mamɛmam2,2
1_04_20,mam0,a
