index,mot,phoneme
1_00_05,eː,e
1_00_05,bɛ,ɛ
1_00_05,bɛ,b
1_00_05,vœga,a
1_00_05,vœga,v
1_00_05,vœga,œ
1_00_05,vœga,g
1_00_05,gat3,a
1_00_05,gat3,t
1_00_05,gat3,3
1_00_05,gat3,g
1_00_05,kaka,a
1_00_05,kaka,a
1_00_05,kaka,k
1_00_05,kaka,k
1_00_05,dœjøkɛka,a
1_00_05,dœjøkɛka,ɛ
1_00_05,dœjøkɛka,k
1_00_05,dœjøkɛka,k
1_00_05,dœjøkɛka,d
1_00_05,dœjøkɛka,j
1_00_05,dœjøkɛka,ø
1_00_05,dœjøkɛka,œ
1_00_05,m,m
1_00_05,taka,a
1_00_05,taka,a
1_00_05,taka,t
1_00_05,taka,k
1_00_05,dɛka,a
1_00_05,dɛka,ɛ
1_00_05,dɛka,k
1_00_05,dɛka,d
1_00_05,gøgega,a
1_00_05,gøgega,e
1_00_05,gøgega,ø
1_00_05,gøgega,g
1_00_05,gøgega,g
1_00_05,gøgega,g
1_00_05,kaga,a
1_00_05,kaga,a
1_00_05,kaga,k
1_00_05,kaga,g
1_00_05,gɛda,a
1_00_05,gɛda,ɛ
1_00_05,gɛda,d
1_00_05,gɛda,g
1_00_05,eka,a
1_00_05,eka,e
1_00_05,eka,k
1_00_05,memː,e
1_00_05,memː,m
1_00_05,memː,m
1_00_05,kakam,a
1_00_05,kakam,a
1_00_05,kakam,k
1_00_05,kakam,k
1_00_05,kakam,m
1_00_05,kaka,a
1_00_05,kaka,a
1_00_05,kaka,k
1_00_05,kaka,k
1_00_05,gli,l
1_00_05,gli,i
1_00_05,gli,g
1_00_05,ta,a
1_00_05,ta,t
1_00_05,da,a
1_00_05,da,d
1_00_05,lœ,l
1_00_05,lœ,œ
1_00_05,gɛga,a
1_00_05,gɛga,ɛ
1_00_05,gɛga,g
1_00_05,gɛga,g
1_00_05,20,0
1_00_05,20,2
1_00_05,iː,i
1_00_05,gɛga,a
1_00_05,gɛga,ɛ
1_00_05,gɛga,g
1_00_05,gɛga,g
1_00_05,ga,a
