index,mot,phoneme
0_11_18,wu,u
0_11_18,wu,w
0_11_18,wu,u
0_11_18,wu,w
0_11_18,wu,u
0_11_18,wu,w
0_11_18,wu,u
0_11_18,wu,w
0_11_18,wu,u
0_11_18,wu,w
0_11_18,u,u
0_11_18,u,u
0_11_18,y,y
0_11_18,u,u
0_11_18,u,u
0_11_18,ɔ,ɔ
0_11_18,hə,ə
0_11_18,u,u
0_11_18,u,u
0_11_18,wu,u
0_11_18,wu,w
0_11_18,wu,u
0_11_18,wu,w
0_11_18,la,a
0_11_18,la,l
0_11_18,haɛ,a
0_11_18,haɛ,ɛ
0_11_18,əmʁu,ə
0_11_18,əmʁu,m
0_11_18,əmʁu,u
0_11_18,wu,u
0_11_18,wu,w
0_11_18,wu,u
0_11_18,wu,w
0_11_18,wu,u
0_11_18,wu,w
0_11_18,ba,a
0_11_18,ba,b
0_11_18,mama,a
0_11_18,mama,a
0_11_18,mama,m
0_11_18,mama,m
0_11_18,a,a
0_11_18,2ː222,2
0_11_18,2ː222,2
0_11_18,2ː222,2
0_11_18,2ː222,2
0_11_18,a,a
0_11_18,up,p
0_11_18,up,u
0_11_18,tata,a
0_11_18,tata,a
0_11_18,tata,t
0_11_18,tata,t
0_11_18,aaaa,a
0_11_18,aaaa,a
0_11_18,aaaa,a
0_11_18,aaaa,a
0_11_18,uu,u
0_11_18,uu,u
0_11_18,aa,a
0_11_18,aa,a
0_11_18,aa,a
0_11_18,aa,a
0_11_18,ha,a
0_11_18,ə,ə
0_11_18,əə,ə
0_11_18,əə,ə
0_11_18,ə,ə
0_11_18,əːaaː,a
0_11_18,əːaaː,a
0_11_18,əːaaː,ə
0_11_18,aaaaaa,a
0_11_18,aaaaaa,a
0_11_18,aaaaaa,a
0_11_18,aaaaaa,a
0_11_18,aaaaaa,a
0_11_18,aaaaaa,a
0_11_18,aaa,a
0_11_18,aaa,a
0_11_18,aaa,a
0_11_18,ə,ə
0_11_18,əəə,ə
0_11_18,əəə,ə
0_11_18,əəə,ə
0_11_18,a,a
0_11_18,a,a
0_11_18,a,a
0_11_18,a,a
0_11_18,wa,a
0_11_18,wa,w
0_11_18,a,a
0_11_18,mama,a
0_11_18,mama,a
0_11_18,mama,m
0_11_18,mama,m
0_11_18,paha,a
0_11_18,paha,a
0_11_18,paha,p
0_11_18,a,a
0_11_18,haha,a
0_11_18,haha,a
0_11_18,am,a
0_11_18,am,m
0_11_18,a,a
0_11_18,mama,a
0_11_18,mama,a
0_11_18,mama,m
0_11_18,mama,m
0_11_18,a,a
0_11_18,m,m
0_11_18,ibibibibi,i
0_11_18,ibibibibi,i
0_11_18,ibibibibi,i
0_11_18,ibibibibi,i
0_11_18,ibibibibi,i
0_11_18,ibibibibi,b
0_11_18,ibibibibi,b
0_11_18,ibibibibi,b
0_11_18,ibibibibi,b
0_11_18,a,a
0_11_18,həɛ,ɛ
0_11_18,həɛ,ə
0_11_18,u,u
0_11_18,etutu,e
0_11_18,etutu,t
0_11_18,etutu,t
0_11_18,etutu,u
