index,mot,phoneme
1_00_09,œː,œ
1_00_09,oːœː,o
1_00_09,oːœː,œ
1_00_09,mː,m
1_00_09,mː,m
1_00_09,a,a
1_00_09,aːgœː,a
1_00_09,aːgœː,œ
1_00_09,aːgœː,g
1_00_09,agy,a
1_00_09,agy,y
1_00_09,agy,g
1_00_09,mː,m
1_00_09,aː,a
1_00_09,aː,a
1_00_09,bɛː,ɛ
1_00_09,bɛː,b
1_00_09,mːmmː,m
1_00_09,mːmmː,m
1_00_09,mːmmː,m
1_00_09,iː,i
1_00_09,œgøː,ø
1_00_09,œgøː,œ
1_00_09,œgøː,g
1_00_09,œː,œ
1_00_09,abœ,a
1_00_09,abœ,b
1_00_09,abœ,œ
1_00_09,aːbœː,a
1_00_09,aːbœː,b
1_00_09,aːbœː,œ
1_00_09,aːœ,a
1_00_09,aːœ,œ
1_00_09,œigiː,i
1_00_09,œigiː,i
1_00_09,œigiː,œ
1_00_09,œigiː,g
1_00_09,œː,œ
1_00_09,aiː,a
1_00_09,aiː,i
1_00_09,aœːgɔ,a
1_00_09,aœːgɔ,ɔ
1_00_09,aœːgɔ,œ
1_00_09,aœːgɔ,g
1_00_09,aː,a
1_00_09,aː,a
1_00_09,aːiː,a
1_00_09,aːiː,i
1_00_09,ai,a
1_00_09,ai,i
1_00_09,ai,a
1_00_09,ai,i
1_00_09,o,o
1_00_09,a,a
1_00_09,eː,e
1_00_09,ae,a
1_00_09,ae,e
1_00_09,œː,œ
1_00_09,œ,œ
1_00_09,eː,e
1_00_09,ɛː,ɛ
1_00_09,ai,a
1_00_09,ai,i
1_00_09,œː,œ
1_00_09,eː,e
1_00_09,œː,œ
1_00_09,œ,œ
1_00_09,jɛː,ɛ
1_00_09,jɛː,j
1_00_09,aː,a
1_00_09,aj,a
1_00_09,aj,j
1_00_09,aː,a
1_00_09,ɛːj,ɛ
1_00_09,ɛːj,j
1_00_09,ɛːiœ,i
1_00_09,ɛːiœ,ɛ
1_00_09,ɛːiœ,œ
1_00_09,ɛː,ɛ
1_00_09,eː,e
1_00_09,eː,e
1_00_09,œ,œ
1_00_09,ɛː,ɛ
1_00_09,eːjs,e
1_00_09,eːjs,s
1_00_09,eːjs,j
1_00_09,ɛː,ɛ
1_00_09,œː,œ
1_00_09,œː,œ
